X,file,dataset,condition,px_cm,genotype,population,location,node,rep_number,base_x,base_y,tip_x,tip_y,rosette_id,PC1,PC2,width,length,area,solidity,asymmetry,circ,ar,PC3,PC4,PC5,PC6,rel_node
1415,17294E_8_20_1_plant2_middle_leaf8.jpg,temp,20,39.37007874,NY_18,17,NYC,15,1.2,30,125,483.5,93.5,ec,-0.07592550767584313,0.08975031284421196,1.0262542196225752,3.670078809087703,1.683441884840704,0.6401821572072678,0.03904242425836572,0.24731443167241737,0.2745445010672109,0.06487372797091061,-0.0721085047129083,0.03289890225192603,-0.06713746909633135,0.5769230769230769
1416,17294E_8_20_1_plant2_outer1_leaf1.jpg,temp,20,39.37007874,NY_18,17,NYC,1,1.2,482,72,30.5,70.5,ec,-0.052604919815805215,0.02441453593418302,0.8879118312647374,3.6630021459080337,1.5080447473129084,0.7378298087657589,0.006080339416015815,0.26338700029484935,0.24254823573814097,3.0145642270583374e-4,0.027980766626014283,-0.022967082699234424,-0.0010072007805058034,0.038461538461538464
1417,17294E_8_20_1_plant2_outer1_leaf2.jpg,temp,20,39.37007874,NY_18,17,NYC,2,1.2,480,142,36.5,133.5,ec,0.20660312288887075,-0.02644020190969624,1.731651325972662,3.6483527023313127,3.775423441442996,0.911411762798071,0.015354483234029494,0.5702809431445389,0.47358066221478656,0.08126934114035117,-0.0024212432433737595,0.04037058467996902,0.020457546222656692,0.07692307692307693
1418,17294E_8_20_1_plant2_outer1_leaf3.jpg,temp,20,39.37007874,NY_18,17,NYC,3,1.2,480,86,32.5,80.5,ec,-0.0820286017066224,-0.08429178216694147,0.9248295554471893,3.7048503132064523,1.4876484146771674,0.7239536851464685,0.044165914343022916,0.24842458657309366,0.24602376321819389,0.0669506507356045,0.01320524507780693,3.393337571413894e-4,-0.021119329076897578,0.11538461538461539
1419,17294E_8_20_1_plant2_outer1_leaf4.jpg,temp,20,39.37007874,NY_18,17,NYC,4,1.2,480,71,36.5,48.5,ec,-0.04817366787205375,0.11777937163701842,1.1986637817890042,3.638587849462548,1.855722174881258,0.706033966755183,0.042030615689435336,0.30179687675842404,0.3295174520507161,0.019405970502863093,-0.029465872696674895,-0.01741441924517317,0.012879792447757204,0.15384615384615385
1420,17294E_8_20_1_plant2_outer1_leaf5.jpg,temp,20,39.37007874,NY_18,17,NYC,5,1.2,483,70,33.5,68.5,ec,-0.04981277186744511,0.08308609252497066,1.00822400464347,3.6888716982643577,1.5209066350411078,0.6830698868707319,0.022015767942084187,0.2348143133835786,0.2730905215508083,0.002617035458751892,0.061767469436755956,-0.02592118456309003,-0.04615195314668266,0.19230769230769232
1421,17294E_8_20_1_plant2_outer1_leaf6.jpg,temp,20,39.37007874,NY_18,17,NYC,6,1.2,479,55,39.5,34.5,ec,-0.08721781927216757,0.12134468627288053,1.0468316765274017,3.6837083781587387,1.6375047763359376,0.6463398347391198,0.03440695200328906,0.24527554160818746,0.290763335982699,0.04871204464315075,-0.06021719293376184,0.03560959426198025,-0.028230967786148954,0.23076923076923078
1422,17294E_8_20_1_plant2_outer1_leaf7.jpg,temp,20,39.37007874,NY_18,17,NYC,7,1.2,479,62,32.5,81.5,ec,-0.007408931132505538,-0.027050480443795853,0.9748773093951035,3.642557970468644,1.6556976141949349,0.7256993442302262,0.023262836462844518,0.2344845981713799,0.2633415890459521,-0.017203110446209802,0.01916122762123528,0.007139061767943052,-0.02523845370613275,0.2692307692307692
1423,17294E_15_16_exp2.1_5_O1_20230525_0001_leaf1.jpg,temp,16,39.37007874,NY_18,17,NYC,1,5,37,55,477.5,56.5,ed,-0.03106941978439113,-0.07302505287687379,0.8300944534002295,3.704170052169032,1.7294755975280012,0.8201459400158738,0.010271678739054256,0.29783271364035724,0.22635317855075876,-0.011475127255348971,-0.0017980313977858983,0.016997656035571154,-0.003993015953973685,0.038461538461538464
1424,17294E_15_16_exp2.1_5_O1_20230525_0001_leaf2.jpg,temp,16,39.37007874,NY_18,17,NYC,2,5,38,59,484.5,55.5,ed,-0.026928983070346222,0.03730350116194585,0.8709532792549373,3.6629137049885077,1.7146116283676207,0.7982590140834749,0.023032680126933304,0.2960720713161473,0.23804282962361725,0.026287916199392226,0.08319884317135125,0.006601840925537776,-0.01128262480955103,0.07692307692307693
1425,17294E_15_16_exp2.1_6_O1_20230525_0001_leaf1.jpg,temp,16,39.37007874,NY_18,17,NYC,3,5,477,82,30.5,75.5,ed,0.017686496334326084,-0.004527665224324897,0.9751238864449396,3.663903392923599,1.718542251696519,0.7515891574667004,0.02214967870432728,0.21500004402308343,0.2686706381191454,-0.05724396636660032,0.006359394314009589,0.021682438532940367,-0.025101279770304602,0.11538461538461539
1426,17294E_15_16_exp2.1_6_O1_20230525_0001_leaf2.jpg,temp,16,39.37007874,NY_18,17,NYC,4,5,481,62,32.5,51.5,ed,-0.07512471695317659,0.007612951498083252,0.830671777162887,3.635385834151215,1.2319796790291448,0.6508226331436717,0.008332675692997555,0.20745251701648873,0.22788832912988313,-0.033806483110343025,-0.007337300587488882,-0.03530189239695615,0.024713405685466802,0.15384615384615385
1427,17294E_15_16_exp2.1_6_O1_20230525_0001_leaf3.jpg,temp,16,39.37007874,NY_18,17,NYC,5,5,483,69,35.5,52.5,ed,-0.05886238462394926,-0.061388452015666437,0.8654780616588341,3.7215286136230747,1.4482396195669125,0.7021110450067232,0.02934892691782459,0.212763445630641,0.23932729927600627,-0.005097280707660876,-0.07607409848247086,0.017005098964363335,0.012716130036720154,0.19230769230769232
1428,17294E_15_16_exp2.1_6_O2_20230525_0001_leaf1.jpg,temp,16,39.37007874,NY_18,17,NYC,6,5,477,61,32.5,57.5,ed,0.004797615131870334,-0.05804929127756496,1.0202122153400384,3.6517011129614008,1.7201070062870514,0.725337596201765,0.03677826850741189,0.18351366834439273,0.2813307874987743,-0.020106114544785794,-0.10477207756498282,0.039107443040271736,-0.009454970989740892,0.23076923076923078
1429,17294E_15_16_exp2.1_6_O2_20230525_0001_leaf2.jpg,temp,16,39.37007874,NY_18,17,NYC,7,5,483,69,32.5,50.5,ed,-0.020959073099518652,0.020091346712276123,1.0193688638977427,3.6688201685445474,1.7165830398717858,0.7230713166771334,0.0203134646656271,0.18196994860773272,0.2778377870892064,-0.022952487542884276,-0.009515713773314624,0.03699728098981653,-0.018987998449901816,0.2692307692307692
1430,17294E_15_16_exp2.1_8_middle_20230525_0001_leaf1.jpg,temp,16,39.37007874,NY_18,17,NYC,6,8,479,64,34.5,58.5,ee,-0.03496565932436697,0.06422808390118638,0.9462810972556159,3.697929424723257,1.4299635671129636,0.6726942961965188,0.016791990249416917,0.20424776110912382,0.2560810110930925,-0.05467293172559699,-0.013076391584815127,-0.011540905912983498,0.025367721098196714,0.23076923076923078
1431,17294E_15_16_exp2.1_8_middle_20230525_0001_leaf2.jpg,temp,16,39.37007874,NY_18,17,NYC,7,8,477,50,34.5,40.5,ee,-0.028032670704667927,0.13002451580264507,1.1930371963710988,3.641619626383934,2.0072029470460677,0.6627879666543662,0.06177131423197934,0.22417679033630958,0.3245973423696258,0.03550521448253809,-0.048281158429871816,0.036996303506066454,-0.06213854831512642,0.2692307692307692
1432,17294E_15_16_exp2.1_8_middle_20230525_0001_leaf3.jpg,temp,16,39.37007874,NY_18,17,NYC,8,8,477,84,33.5,70.5,ee,0.004581056210287499,0.018689262076100787,1.0008515499959187,3.6568325628071436,1.6810882621447547,0.744717214509357,0.030663221746806458,0.19292080826287644,0.2713687394242895,-0.03632132750507755,0.04143257829404618,0.014595983023889987,0.014249338773835085,0.3076923076923077
1433,17294E_15_16_exp2.1_8_outer_20230525_0001_leaf1.jpg,temp,16,39.37007874,NY_18,17,NYC,1,8,477,49,32.5,31.5,ee,-0.06120976708825193,0.13328177765866797,0.9348786128764416,3.6803786865294326,1.563294255650618,0.6531130309736879,0.028599741043780946,0.20939452054879998,0.25422595351111155,-0.0023556164829776002,-0.026061862505930886,0.04546898529650864,-0.035575856930812076,0.038461538461538464
1434,17294E_15_16_exp2.1_8_outer_20230525_0001_leaf2.jpg,temp,16,39.37007874,NY_18,17,NYC,2,8,481,86,31.5,86.5,ee,-0.018499036299689495,-0.06577945213201869,1.0595749821944027,3.6997038679742413,1.7635460518625123,0.7179812619455763,0.03153624294003848,0.19641377439544036,0.2856730447116845,0.008133386897171394,-0.055759382416819686,0.024088925049175147,0.012430717029159514,0.07692307692307693
